end_station_name,total_station
10101 S Stony Island Ave,8
111th St - Morgan Park Metra,63
2112 W Peterson Ave,962
532 E 43rd St,176
63rd & Western Ave - north corner,31
63rd & Western Ave - south corner,35
63rd St Beach,890
83rd St (Avalon Park) Metra,175
900 W Harrison St,11169
Abbott Park,20
Aberdeen St & Jackson Blvd,11144
Aberdeen St & Monroe St,9619
Aberdeen St & Randolph St,10836
Ada St & 113th St,70
Ada St & 117th St,81
Ada St & 119th St,70
Ada St & 79th St,86
Ada St & 95th St,192
Ada St & Washington Blvd,8017
Adler Planetarium,14766
Al Raby School,186
Albany Ave & 103rd St,10
Albany Ave & 111th St - NW,4
Albany Ave & 16th St,349
Albany Ave & 26th St,379
Albany Ave & 63rd St,40
Albany Ave & Belmont Ave,2157
Albany Ave & Bloomingdale Ave,4656
Albany Ave & Douglas Blvd,193
Albany Ave & Montrose Ave,2133
Altgeld Gardens,68
Archer (Damen) Ave & 37th St,522
Archer Ave & 43rd St,521
Archer Park,95
Artesian Ave & 55th St,261
Artesian Ave & Hubbard St,3061
Ashland Ave & 13th St,3521
Ashland Ave & 45th St,61
Ashland Ave & 45th St - midblock south,17
Ashland Ave & 46th St,11
Ashland Ave & 50th St,180
Ashland Ave & 63rd St,166
Ashland Ave & 66th St,66
Ashland Ave & 71st St,57
Ashland Ave & 73rd St,1
Ashland Ave & 74th St,102
Ashland Ave & 76th St,72
Ashland Ave & 78th St,91
Ashland Ave & Archer Ave,1191
Ashland Ave & Augusta Blvd,6631
Ashland Ave & Belle Plaine Ave,3163
Ashland Ave & Blackhawk St,9435
Ashland Ave & Chicago Ave,6133
Ashland Ave & Division St,22538
Ashland Ave & Garfield Blvd,127
Ashland Ave & Grace St,6780
Ashland Ave & Grand Ave,5917
Ashland Ave & Lake St,4805
Ashland Ave & McDowell Ave,461
Ashland Ave & Pershing Rd,222
Ashland Ave & Wellington Ave,6588
Ashland Ave & Wrightwood Ave,6395
Augusta Blvd & Laramie Ave,269
Austin Ave & Roscoe St,240
Austin Ave & Wellington Ave - midblock,29
Austin Ave & Wrightwood Ave,26
Austin Blvd & Chicago Ave,287
Austin Blvd & Lake St,479
Austin Blvd & Madison St,257
Austin Blvd & North Ave,21
Austin Branch Chicago Public Library,47
Avenue J & 102nd St,31
Avenue J & 106th St,88
Avenue J & 112th St,27
Avenue L & 114th St,88
Avenue M & 132nd St,7
Avenue O & 118th St,130
Avenue O & 134th St,90
Avers Ave & Archer Ave,34
Avers Ave & Belmont Ave,2474
Avers Ave & Irving Park Rd,639
Avers Ave & Ogden Ave,1
Avondale Ave & Addison St,15
Avondale Ave & Irving Park Rd,1858
Back of the Yards Park,6
Baltimore Ave & 132nd St,29
Baltimore Ave & 133rd St,22
Baltimore Ave & 87th St,171
Bell Ave & 95th St,157
Bennett Ave & 79th St,110
Bennett Ave & 96th St,42
Bensley Ave & 103rd St,18
Benson Ave & Church St,4800
Bernard St & Elston Ave,1948
Big Marsh Park,225
Bishop St & 46th St,51
Bissell St & Armitage Ave,18979
Blackstone Ave & Hyde Park Blvd,4290
Bloomingdale Ave & Harlem Ave,213
Blue Island Ave & 18th St,6005
Bosworth Ave & Howard St,805
Bradley Park,62
Brandon Ave & 91st St,64
Brighton Park Branch Chicago Library,13
Broadway & Argyle St,8151
Broadway & Barry Ave,28358
