start_station_name,total_station
10101 S Stony Island Ave,7
111th St - Morgan Park Metra,47
2112 W Peterson Ave,860
532 E 43rd St,148
63rd & Western Ave - north corner,24
63rd & Western Ave - south corner,27
63rd St Beach,820
83rd St (Avalon Park) Metra,170
900 W Harrison St,11491
Abbott Park,14
Aberdeen St & Jackson Blvd,11607
Aberdeen St & Monroe St,9516
Aberdeen St & Randolph St,10220
Ada St & 113th St,68
Ada St & 117th St,47
Ada St & 119th St,78
Ada St & 79th St,62
Ada St & 95th St,145
Ada St & Washington Blvd,7829
Adler Planetarium,15442
Al Raby School,228
Albany Ave & 103rd St,4
Albany Ave & 111th St - NW,5
Albany Ave & 16th St,382
Albany Ave & 26th St,342
Albany Ave & 63rd St,59
Albany Ave & Belmont Ave,2138
Albany Ave & Bloomingdale Ave,4897
Albany Ave & Douglas Blvd,165
Albany Ave & Montrose Ave,1973
Altgeld Gardens,69
Archer (Damen) Ave & 37th St,529
Archer Ave & 43rd St,451
Archer Park,65
Artesian Ave & 55th St,354
Artesian Ave & Hubbard St,3729
Ashland Ave & 13th St,3231
Ashland Ave & 45th St,49
Ashland Ave & 45th St - midblock south,33
Ashland Ave & 46th St,17
Ashland Ave & 50th St,159
Ashland Ave & 63rd St,192
Ashland Ave & 66th St,56
Ashland Ave & 71st St,42
Ashland Ave & 73rd St,7
Ashland Ave & 74th St,102
Ashland Ave & 76th St,55
Ashland Ave & 78th St,96
Ashland Ave & Archer Ave,1180
Ashland Ave & Augusta Blvd,7016
Ashland Ave & Belle Plaine Ave,3127
Ashland Ave & Blackhawk St,9274
Ashland Ave & Chicago Ave,5943
Ashland Ave & Division St,22277
Ashland Ave & Garfield Blvd,136
Ashland Ave & Grace St,6955
Ashland Ave & Grand Ave,5946
Ashland Ave & Lake St,5237
Ashland Ave & McDowell Ave,420
Ashland Ave & Pershing Rd,256
Ashland Ave & Wellington Ave,6641
Ashland Ave & Wrightwood Ave,6045
Augusta Blvd & Laramie Ave,299
Austin Ave & Roscoe St,222
Austin Ave & Wellington Ave - midblock,14
Austin Ave & Wrightwood Ave,28
Austin Blvd & Chicago Ave,276
Austin Blvd & Lake St,456
Austin Blvd & Madison St,329
Austin Blvd & North Ave,29
Austin Branch Chicago Public Library,36
Avenue J & 102nd St,24
Avenue J & 106th St,12
Avenue J & 112th St,14
Avenue L & 114th St,109
Avenue M & 132nd St,3
Avenue O & 118th St,132
Avenue O & 134th St,95
