end_station_name,total_station
10101 S Stony Island Ave,4
111th St - Morgan Park Metra,13
2112 W Peterson Ave,1049
532 E 43rd St,33
63rd & Western Ave - north corner,15
63rd & Western Ave - south corner,10
63rd St Beach,910
83rd St (Avalon Park) Metra,3
900 W Harrison St,11793
Abbott Park,20
Aberdeen St & Jackson Blvd,11587
Aberdeen St & Monroe St,10011
Aberdeen St & Randolph St,11346
Ada St & 113th St,72
Ada St & 117th St,2
Ada St & 119th St,2
Ada St & 79th St,8
Ada St & 95th St,1
Ada St & Washington Blvd,8382
Adler Planetarium,15201
Al Raby School,2
Albany Ave & 103rd St,4
Albany Ave & 111th St - NW,5
Albany Ave & 16th St,190
Albany Ave & 26th St,410
Albany Ave & 63rd St,27
Albany Ave & Belmont Ave,504
Albany Ave & Bloomingdale Ave,4923
Albany Ave & Douglas Blvd,80
Albany Ave & Montrose Ave,2331
Altgeld Gardens,70
Archer (Damen) Ave & 37th St,557
Archer Ave & 43rd St,227
Archer Park,11
Artesian Ave & 55th St,164
Artesian Ave & Hubbard St,3280
Ashland Ave & 13th St,3686
Ashland Ave & 45th St,7
Ashland Ave & 45th St - midblock south,8
Ashland Ave & 46th St,5
Ashland Ave & 50th St,193
Ashland Ave & 63rd St,172
Ashland Ave & 66th St,67
Ashland Ave & 71st St,8
Ashland Ave & 73rd St,1
Ashland Ave & 74th St,107
Ashland Ave & 76th St,4
Ashland Ave & 78th St,93
Ashland Ave & Archer Ave,1347
Ashland Ave & Augusta Blvd,7022
Ashland Ave & Belle Plaine Ave,3408
Ashland Ave & Blackhawk St,10091
Ashland Ave & Chicago Ave,6549
Ashland Ave & Division St,23758
Ashland Ave & Garfield Blvd,135
Ashland Ave & Grace St,7277
Ashland Ave & Grand Ave,6169
Ashland Ave & Lake St,5062
Ashland Ave & McDowell Ave,480
Ashland Ave & Pershing Rd,236
Ashland Ave & Wellington Ave,6953
Ashland Ave & Wrightwood Ave,6783
Augusta Blvd & Laramie Ave,90
Austin Ave & Roscoe St,7
Austin Ave & Wellington Ave - midblock,6
Austin Ave & Wrightwood Ave,13
Austin Blvd & Chicago Ave,289
Austin Blvd & Lake St,500
Austin Blvd & Madison St,258
Austin Blvd & North Ave,4
Austin Branch Chicago Public Library,9
Avenue J & 102nd St,1
Avenue J & 106th St,6
Avenue J & 112th St,4
Avenue L & 114th St,31
Avenue M & 132nd St,2
Avenue O & 118th St,135
Avenue O & 134th St,90
Avers Ave & Archer Ave,31
Avers Ave & Belmont Ave,2601
Avers Ave & Irving Park Rd,24
Avers Ave & Ogden Ave,1
Avondale Ave & Addison St,5
Avondale Ave & Irving Park Rd,2006
Back of the Yards Park,2
Baltimore Ave & 132nd St,3
Baltimore Ave & 133rd St,4
Baltimore Ave & 87th St,182
Base - 2132 W Hubbard,177
Base - 2132 W Hubbard Warehouse,65
Bell Ave & 95th St,19
Bennett Ave & 79th St,111
Bennett Ave & 96th St,2
Bensley Ave & 103rd St,2
Benson Ave & Church St,5511
Bernard St & Elston Ave,2155
Big Marsh Park,228
Bishop St & 46th St,13
Bissell St & Armitage Ave,6933
Bissell St & Armitage Ave - Charging,21
Bissell St & Armitage Ave*,12946
Blackstone Ave & Hyde Park Blvd,4515
Bloomingdale Ave & Harlem Ave,105
Blue Island Ave & 18th St,6437
Bosworth Ave & Howard St,917
Bradley Park,56
Brandon Ave & 91st St,49
Brighton Park Branch Chicago Library,9
Broadway & Argyle St,8841
Broadway & Barry Ave,30110
Broadway & Belmont Ave,16853
Broadway & Berwyn Ave,8589
Broadway & Cornelia Ave,21271
Broadway & Granville Ave,7849
Broadway & Ridge Ave,7694
Broadway & Sheridan Rd,15070
Broadway & Thorndale Ave,7812
Broadway & Waveland Ave,21714
Broadway & Wilson - Truman College Vaccination Site,9499
Broadway & Wilson Ave,2279
Buckingham Fountain,6438
Buckingham Fountain (Temp),2332
Budlong Woods Library,1115
Buffalo Ave & 133rd St,1
Buffalo Ave & 89th St,6
Burling St & Diversey Pkwy,15197
Burnham Greenway & 105th St,249
Burnham Greenway & 112th St,509
Burnham Harbor,10514
California & 16th St,139
California Ave & 21st St,1322
California Ave & 23rd Pl,656
California Ave & 26th St,421
California Ave & 29th St,8
California Ave & 36th St,88
California Ave & Altgeld St,4205
California Ave & Byron St,2624
California Ave & Cortez St,7197
California Ave & Devon Ave - NE,26
California Ave & Devon Ave - NW,12
California Ave & Division St,4899
California Ave & Fletcher St,4244
California Ave & Francis Pl (Temp),4959
California Ave & Lake St,906
California Ave & Marquette Rd,206
California Ave & Milwaukee Ave,13414
California Ave & Montrose Ave,3559
California Ave & North Ave,5280
California Ave & Ogden Ave,5
California Ave & Pershing Rd,10
California Ave & Touhy Ave - NW,16
California Ave & Touhy Ave - SW,1
California Ave & Winona St,596
Calumet Ave & 103rd St,4
Calumet Ave & 18th St,9105
Calumet Ave & 21st St,4352
Calumet Ave & 33rd St,7591
Calumet Ave & 35th St,2464
Calumet Ave & 51st St,1032
Calumet Ave & 71st St,55
Calumet Ave & Garfield Blvd,14
Calumet Park,284
Campbell Ave & 51st St,98
Campbell Ave & Fullerton Ave,3623
Campbell Ave & Irving Park Rd,418
Campbell Ave & Montrose Ave,3247
Campbell Ave & Montrose Ave (Temp),215
Campbell Ave & North Ave,6587
Canal St & Adams St,20877
Canal St & Harrison St,2595
Canal St & Jackson Blvd,10839
Canal St & Madison St,14735
Canal St & Monroe St,12401
Canal St & Taylor St,6995
Cannon Dr & Fullerton Ave,6637
Canty Elementary School,4
Carpenter St & 63rd St,50
Carpenter St & Huron St,9868
Central Ave & Adams St,1
Central Ave & Chicago Ave,472
Central Ave & Congress Pkwy,7
Central Ave & Corcoran Pl,20
Central Ave & George St,17
Central Ave & Harrison St,135
Central Ave & Lake St,241
Central Ave & Madison St,208
Central Ave & North Ave,6
Central Ave & Parker Ave,314
Central Ave & Roscoe St,328
Central Park & Augusta Blvd,163
Central Park Ave & 24th St,414
Central Park Ave & Bloomingdale Ave,3517
Central Park Ave & Douglas Blvd,114
Central Park Ave & Elbridge Ave,3248
Central Park Ave & Fillmore St,1
Central Park Ave & North Ave,1573
Central Park Ave & Ogden Ave,795
