start_station_name,total_station
10101 S Stony Island Ave,3
111th St - Morgan Park Metra,14
2112 W Peterson Ave,963
532 E 43rd St,34
63rd & Western Ave - north corner,14
63rd & Western Ave - south corner,11
63rd St Beach,851
83rd St (Avalon Park) Metra,2
900 W Harrison St,12172
Abbott Park,14
Aberdeen St & Jackson Blvd,12134
Aberdeen St & Monroe St,9992
Aberdeen St & Randolph St,10867
Ada St & 113th St,72
Ada St & 117th St,2
Ada St & 119th St,3
Ada St & 79th St,7
Ada St & 95th St,1
Ada St & Washington Blvd,8240
Adler Planetarium,16086
Al Raby School,2
Albany Ave & 103rd St,3
Albany Ave & 111th St - NW,5
Albany Ave & 16th St,203
Albany Ave & 26th St,380
Albany Ave & 63rd St,27
Albany Ave & Belmont Ave,603
Albany Ave & Bloomingdale Ave,5210
Albany Ave & Douglas Blvd,91
Albany Ave & Montrose Ave,2224
Altgeld Gardens,78
Archer (Damen) Ave & 37th St,569
Archer Ave & 43rd St,209
Archer Park,11
Artesian Ave & 55th St,229
Artesian Ave & Hubbard St,3864
Ashland Ave & 13th St,3404
Ashland Ave & 45th St,8
Ashland Ave & 45th St - midblock south,8
Ashland Ave & 46th St,7
Ashland Ave & 50th St,171
Ashland Ave & 63rd St,213
Ashland Ave & 66th St,61
Ashland Ave & 71st St,6
Ashland Ave & 73rd St,2
Ashland Ave & 74th St,116
Ashland Ave & 76th St,11
Ashland Ave & 78th St,132
Ashland Ave & Archer Ave,1348
Ashland Ave & Augusta Blvd,7399
Ashland Ave & Belle Plaine Ave,3397
Ashland Ave & Blackhawk St,10021
Ashland Ave & Chicago Ave,6354
Ashland Ave & Division St,23694
Ashland Ave & Garfield Blvd,150
Ashland Ave & Grace St,7516
Ashland Ave & Grand Ave,6307
Ashland Ave & Lake St,5567
Ashland Ave & McDowell Ave,452
Ashland Ave & Pershing Rd,274
Ashland Ave & Wellington Ave,7030
Ashland Ave & Wrightwood Ave,6561
Augusta Blvd & Laramie Ave,105
Austin Ave & Roscoe St,6
Austin Ave & Wellington Ave - midblock,6
Austin Ave & Wrightwood Ave,14
Austin Blvd & Chicago Ave,300
Austin Blvd & Lake St,506
Austin Blvd & Madison St,345
Austin Blvd & North Ave,5
Austin Branch Chicago Public Library,6
Avenue J & 102nd St,1
Avenue J & 106th St,6
Avenue J & 112th St,4
Avenue L & 114th St,68
Avenue M & 132nd St,2
Avenue O & 118th St,140
Avenue O & 134th St,101
Avers Ave & Archer Ave,32
Avers Ave & Belmont Ave,2443
Avers Ave & Irving Park Rd,21
Avers Ave & Ogden Ave,1
Avondale Ave & Addison St,5
Avondale Ave & Irving Park Rd,2168
Back of the Yards Park,2
Baltimore Ave & 132nd St,3
Baltimore Ave & 133rd St,6
Baltimore Ave & 87th St,181
Base - 2132 W Hubbard,1365
Base - 2132 W Hubbard Warehouse,635
Bell Ave & 95th St,20
Bennett Ave & 79th St,97
Bennett Ave & 96th St,1
Bensley Ave & 103rd St,1
Benson Ave & Church St,5415
Bernard St & Elston Ave,2115
Big Marsh Park,242
Bishop St & 46th St,10
Bissell St & Armitage Ave,6787
Bissell St & Armitage Ave - Charging,19
Bissell St & Armitage Ave*,12361
Blackstone Ave & Hyde Park Blvd,4713
Bloomingdale Ave & Harlem Ave,118
Blue Island Ave & 18th St,6224
Bosworth Ave & Howard St,1005
Bradley Park,71
Brandon Ave & 91st St,48
Brighton Park Branch Chicago Library,11
Broadway & Argyle St,8922
Broadway & Barry Ave,29829
Broadway & Belmont Ave,16751
Broadway & Berwyn Ave,8457
Broadway & Cornelia Ave,21711
Broadway & Granville Ave,7576
Broadway & Ridge Ave,7616
Broadway & Sheridan Rd,15727
Broadway & Thorndale Ave,7504
Broadway & Waveland Ave,22042
Broadway & Wilson - Truman College Vaccination Site,9361
Broadway & Wilson Ave,2281
Buckingham Fountain,7245
Buckingham Fountain (Temp),2437
Budlong Woods Library,1080
Buffalo Ave & 133rd St,2
Buffalo Ave & 89th St,5
Burling St & Diversey Pkwy,14899
Burnham Greenway & 105th St,235
Burnham Greenway & 112th St,538
Burnham Harbor,10502
California & 16th St,171
