"","end_station_name","n"
"1","10101 S Stony Island Ave",8
"2","111th St - Morgan Park Metra",63
"3","2112 W Peterson Ave",962
"4","532 E 43rd St",176
"5","63rd & Western Ave - north corner",31
"6","63rd & Western Ave - south corner",35
"7","63rd St Beach",890
"8","83rd St (Avalon Park) Metra",175
"9","900 W Harrison St",11169
"10","Abbott Park",20
"11","Aberdeen St & Jackson Blvd",11144
"12","Aberdeen St & Monroe St",9619
"13","Aberdeen St & Randolph St",10836
"14","Ada St & 113th St",70
"15","Ada St & 117th St",81
"16","Ada St & 119th St",70
"17","Ada St & 79th St",86
"18","Ada St & 95th St",192
"19","Ada St & Washington Blvd",8017
"20","Adler Planetarium",14766
"21","Al Raby School",186
"22","Albany Ave & 103rd St",10
"23","Albany Ave & 111th St - NW",4
"24","Albany Ave & 16th St",349
"25","Albany Ave & 26th St",379
"26","Albany Ave & 63rd St",40
"27","Albany Ave & Belmont Ave",2157
"28","Albany Ave & Bloomingdale Ave",4656
"29","Albany Ave & Douglas Blvd",193
"30","Albany Ave & Montrose Ave",2133
"31","Altgeld Gardens",68
"32","Archer (Damen) Ave & 37th St",522
"33","Archer Ave & 43rd St",521
"34","Archer Park",95
"35","Artesian Ave & 55th St",261
"36","Artesian Ave & Hubbard St",3061
"37","Ashland Ave & 13th St",3521
"38","Ashland Ave & 45th St",61
"39","Ashland Ave & 45th St - midblock south",17
"40","Ashland Ave & 46th St",11
"41","Ashland Ave & 50th St",180
"42","Ashland Ave & 63rd St",166
"43","Ashland Ave & 66th St",66
"44","Ashland Ave & 71st St",57
"45","Ashland Ave & 73rd St",1
"46","Ashland Ave & 74th St",102
"47","Ashland Ave & 76th St",72
"48","Ashland Ave & 78th St",91
"49","Ashland Ave & Archer Ave",1191
"50","Ashland Ave & Augusta Blvd",6631
"51","Ashland Ave & Belle Plaine Ave",3163
"52","Ashland Ave & Blackhawk St",9435
"53","Ashland Ave & Chicago Ave",6133
"54","Ashland Ave & Division St",22538
"55","Ashland Ave & Garfield Blvd",127
"56","Ashland Ave & Grace St",6780
"57","Ashland Ave & Grand Ave",5917
"58","Ashland Ave & Lake St",4805
"59","Ashland Ave & McDowell Ave",461
"60","Ashland Ave & Pershing Rd",222
"61","Ashland Ave & Wellington Ave",6588
"62","Ashland Ave & Wrightwood Ave",6395
"63","Augusta Blvd & Laramie Ave",269
"64","Austin Ave & Roscoe St",240
"65","Austin Ave & Wellington Ave - midblock",29
"66","Austin Ave & Wrightwood Ave",26
"67","Austin Blvd & Chicago Ave",287
"68","Austin Blvd & Lake St",479
"69","Austin Blvd & Madison St",257
"70","Austin Blvd & North Ave",21
"71","Austin Branch Chicago Public Library",47
"72","Avenue J & 102nd St",31
"73","Avenue J & 106th St",88
"74","Avenue J & 112th St",27
"75","Avenue L & 114th St",88
"76","Avenue M & 132nd St",7
"77","Avenue O & 118th St",130
"78","Avenue O & 134th St",90
"79","Avers Ave & Archer Ave",34
"80","Avers Ave & Belmont Ave",2474
"81","Avers Ave & Irving Park Rd",639
"82","Avers Ave & Ogden Ave",1
"83","Avondale Ave & Addison St",15
"84","Avondale Ave & Irving Park Rd",1858
"85","Back of the Yards Park",6
"86","Baltimore Ave & 132nd St",29
"87","Baltimore Ave & 133rd St",22
"88","Baltimore Ave & 87th St",171
"89","Bell Ave & 95th St",157
"90","Bennett Ave & 79th St",110
"91","Bennett Ave & 96th St",42
"92","Bensley Ave & 103rd St",18
"93","Benson Ave & Church St",4800
"94","Bernard St & Elston Ave",1948
"95","Big Marsh Park",225
"96","Bishop St & 46th St",51
"97","Bissell St & Armitage Ave",18979
"98","Blackstone Ave & Hyde Park Blvd",4290
"99","Bloomingdale Ave & Harlem Ave",213
"100","Blue Island Ave & 18th St",6005
"101","Bosworth Ave & Howard St",805
"102","Bradley Park",62
"103","Brandon Ave & 91st St",64
"104","Brighton Park Branch Chicago Library",13
"105","Broadway & Argyle St",8151
"106","Broadway & Barry Ave",28358
"107","Broadway & Belmont Ave",16016
"108","Broadway & Berwyn Ave",7785
"109","Broadway & Cornelia Ave",20088
"110","Broadway & Granville Ave",7057
"111","Broadway & Ridge Ave",6813
"112","Broadway & Sheridan Rd",13964
"113","Broadway & Thorndale Ave",7119
"114","Broadway & Waveland Ave",20555
"115","Broadway & Wilson - Truman College Vaccination Site",8748
"116","Broadway & Wilson Ave",2007
"117","Buckingham Fountain",8438
"118","Budlong Woods Library",1081
"119","Buffalo Ave & 133rd St",19
"120","Buffalo Ave & 89th St",29
"121","Burling St & Diversey Pkwy",14436
"122","Burnham Greenway & 105th St",249
"123","Burnham Greenway & 112th St",506
"124","Burnham Harbor",10239
"125","California & 16th St",323
"126","California Ave & 21st St",1274
"127","California Ave & 23rd Pl",625
"128","California Ave & 26th St",393
"129","California Ave & 29th St",214
"130","California Ave & 36th St",181
"131","California Ave & Altgeld St",3949
"132","California Ave & Byron St",2507
"133","California Ave & Cortez St",8545
"134","California Ave & Devon Ave - NE",43
"135","California Ave & Devon Ave - NW",23
"136","California Ave & Division St",4736
"137","California Ave & Fletcher St",4059
"138","California Ave & Francis Pl",4635
"139","California Ave & Lake St",856
"140","California Ave & Marquette Rd",289
"141","California Ave & Milwaukee Ave",12613
"142","California Ave & Montrose Ave",3410
"143","California Ave & North Ave",4942
"144","California Ave & Ogden Ave",5
"145","California Ave & Pershing Rd",10
"146","California Ave & Touhy Ave - NW",30
"147","California Ave & Winona St",1333
"148","Calumet Ave & 103rd St",76
"149","Calumet Ave & 18th St",8653
"150","Calumet Ave & 21st St",4150
"151","Calumet Ave & 33rd St",7302
"152","Calumet Ave & 35th St",2368
"153","Calumet Ave & 51st St",1148
"154","Calumet Ave & 71st St",75
"155","Calumet Ave & Garfield Blvd",66
"156","Calumet Park",281
"157","Campbell Ave & 51st St",438
"158","Campbell Ave & Fullerton Ave",3367
"159","Campbell Ave & Irving Park Rd",1067
"160","Campbell Ave & Montrose Ave",3211
"161","Campbell Ave & North Ave",6152
"162","Canal St & Adams St",19917
"163","Canal St & Harrison St",2512
"164","Canal St & Jackson Blvd",10349
"165","Canal St & Madison St",14105
"166","Canal St & Monroe St",11771
"167","Canal St & Taylor St",6727
"168","Cannon Dr & Fullerton Ave",6400
"169","Canty Elementary School",11
"170","Carpenter St & 63rd St",49
"171","Carpenter St & Huron St",9340
"172","Central Ave & Adams St",726
"173","Central Ave & Chicago Ave",468
"174","Central Ave & Congress Pkwy",137
"175","Central Ave & Corcoran Pl",143
"176","Central Ave & George St",140
"177","Central Ave & Harrison St",133
"178","Central Ave & Lake St",239
"179","Central Ave & Madison St",202
"180","Central Ave & North Ave",24
