"","start_station_name","n"
"1","10101 S Stony Island Ave",7
"2","111th St - Morgan Park Metra",47
"3","2112 W Peterson Ave",860
"4","532 E 43rd St",148
"5","63rd & Western Ave - north corner",24
"6","63rd & Western Ave - south corner",27
"7","63rd St Beach",820
"8","83rd St (Avalon Park) Metra",170
"9","900 W Harrison St",11491
"10","Abbott Park",14
"11","Aberdeen St & Jackson Blvd",11607
"12","Aberdeen St & Monroe St",9516
"13","Aberdeen St & Randolph St",10220
"14","Ada St & 113th St",68
"15","Ada St & 117th St",47
"16","Ada St & 119th St",78
"17","Ada St & 79th St",62
"18","Ada St & 95th St",145
"19","Ada St & Washington Blvd",7829
"20","Adler Planetarium",15442
"21","Al Raby School",228
"22","Albany Ave & 103rd St",4
"23","Albany Ave & 111th St - NW",5
"24","Albany Ave & 16th St",382
"25","Albany Ave & 26th St",342
"26","Albany Ave & 63rd St",59
"27","Albany Ave & Belmont Ave",2138
"28","Albany Ave & Bloomingdale Ave",4897
"29","Albany Ave & Douglas Blvd",165
"30","Albany Ave & Montrose Ave",1973
"31","Altgeld Gardens",69
"32","Archer (Damen) Ave & 37th St",529
"33","Archer Ave & 43rd St",451
"34","Archer Park",65
"35","Artesian Ave & 55th St",354
"36","Artesian Ave & Hubbard St",3729
"37","Ashland Ave & 13th St",3231
"38","Ashland Ave & 45th St",49
"39","Ashland Ave & 45th St - midblock south",33
"40","Ashland Ave & 46th St",17
"41","Ashland Ave & 50th St",159
"42","Ashland Ave & 63rd St",192
"43","Ashland Ave & 66th St",56
"44","Ashland Ave & 71st St",42
"45","Ashland Ave & 73rd St",7
"46","Ashland Ave & 74th St",102
"47","Ashland Ave & 76th St",55
"48","Ashland Ave & 78th St",96
"49","Ashland Ave & Archer Ave",1180
"50","Ashland Ave & Augusta Blvd",7016
"51","Ashland Ave & Belle Plaine Ave",3127
"52","Ashland Ave & Blackhawk St",9274
"53","Ashland Ave & Chicago Ave",5943
"54","Ashland Ave & Division St",22277
"55","Ashland Ave & Garfield Blvd",136
"56","Ashland Ave & Grace St",6955
"57","Ashland Ave & Grand Ave",5946
"58","Ashland Ave & Lake St",5237
"59","Ashland Ave & McDowell Ave",420
"60","Ashland Ave & Pershing Rd",256
"61","Ashland Ave & Wellington Ave",6641
"62","Ashland Ave & Wrightwood Ave",6045
"63","Augusta Blvd & Laramie Ave",299
"64","Austin Ave & Roscoe St",222
"65","Austin Ave & Wellington Ave - midblock",14
"66","Austin Ave & Wrightwood Ave",28
"67","Austin Blvd & Chicago Ave",276
"68","Austin Blvd & Lake St",456
"69","Austin Blvd & Madison St",329
"70","Austin Blvd & North Ave",29
"71","Austin Branch Chicago Public Library",36
"72","Avenue J & 102nd St",24
"73","Avenue J & 106th St",12
"74","Avenue J & 112th St",14
"75","Avenue L & 114th St",109
"76","Avenue M & 132nd St",3
"77","Avenue O & 118th St",132
"78","Avenue O & 134th St",95
"79","Avers Ave & Archer Ave",31
"80","Avers Ave & Belmont Ave",2299
"81","Avers Ave & Irving Park Rd",614
"82","Avers Ave & Ogden Ave",1
"83","Avondale Ave & Addison St",48
"84","Avondale Ave & Irving Park Rd",1949
"85","Back of the Yards Park",5
"86","Baltimore Ave & 132nd St",25
"87","Baltimore Ave & 133rd St",20
"88","Baltimore Ave & 87th St",154
"89","Bell Ave & 95th St",142
"90","Bennett Ave & 79th St",91
"91","Bennett Ave & 96th St",61
"92","Bensley Ave & 103rd St",14
"93","Benson Ave & Church St",4675
"94","Bernard St & Elston Ave",1954
"95","Big Marsh Park",228
"96","Bishop St & 46th St",25
"97","Bissell St & Armitage Ave",18118
"98","Blackstone Ave & Hyde Park Blvd",4260
"99","Bloomingdale Ave & Harlem Ave",211
"100","Blue Island Ave & 18th St",5690
"101","Bosworth Ave & Howard St",889
"102","Bradley Park",55
"103","Brandon Ave & 91st St",69
"104","Brighton Park Branch Chicago Library",21
"105","Broadway & Argyle St",8121
"106","Broadway & Barry Ave",28042
"107","Broadway & Belmont Ave",15780
"108","Broadway & Berwyn Ave",7478
"109","Broadway & Cornelia Ave",20313
"110","Broadway & Granville Ave",6530
"111","Broadway & Ridge Ave",6667
"112","Broadway & Sheridan Rd",14508
"113","Broadway & Thorndale Ave",6718
"114","Broadway & Waveland Ave",20651
"115","Broadway & Wilson - Truman College Vaccination Site",8370
"116","Broadway & Wilson Ave",1968
"117","Buckingham Fountain",9185
"118","Budlong Woods Library",1025
"119","Buffalo Ave & 133rd St",19
"120","Buffalo Ave & 89th St",24
"121","Burling St & Diversey Pkwy",14064
"122","Burnham Greenway & 105th St",222
"123","Burnham Greenway & 112th St",514
"124","Burnham Harbor",10090
"125","California & 16th St",297
"126","California Ave & 21st St",1186
"127","California Ave & 23rd Pl",766
"128","California Ave & 26th St",405
"129","California Ave & 29th St",171
"130","California Ave & 36th St",168
"131","California Ave & Altgeld St",3576
"132","California Ave & Byron St",2477
"133","California Ave & Cortez St",8111
"134","California Ave & Devon Ave - NE",44
"135","California Ave & Devon Ave - NW",20
"136","California Ave & Division St",4355
