"","start_station_name","n"
"1","10101 S Stony Island Ave",3
"2","111th St - Morgan Park Metra",14
"3","2112 W Peterson Ave",963
"4","532 E 43rd St",34
"5","63rd & Western Ave - north corner",14
"6","63rd & Western Ave - south corner",11
"7","63rd St Beach",851
"8","83rd St (Avalon Park) Metra",2
"9","900 W Harrison St",12172
"10","Abbott Park",14
"11","Aberdeen St & Jackson Blvd",12134
"12","Aberdeen St & Monroe St",9992
"13","Aberdeen St & Randolph St",10867
"14","Ada St & 113th St",72
"15","Ada St & 117th St",2
"16","Ada St & 119th St",3
"17","Ada St & 79th St",7
"18","Ada St & 95th St",1
"19","Ada St & Washington Blvd",8240
"20","Adler Planetarium",16086
"21","Al Raby School",2
"22","Albany Ave & 103rd St",3
"23","Albany Ave & 111th St - NW",5
"24","Albany Ave & 16th St",203
"25","Albany Ave & 26th St",380
"26","Albany Ave & 63rd St",27
"27","Albany Ave & Belmont Ave",603
"28","Albany Ave & Bloomingdale Ave",5210
"29","Albany Ave & Douglas Blvd",91
"30","Albany Ave & Montrose Ave",2224
"31","Altgeld Gardens",78
"32","Archer (Damen) Ave & 37th St",569
"33","Archer Ave & 43rd St",209
"34","Archer Park",11
"35","Artesian Ave & 55th St",229
"36","Artesian Ave & Hubbard St",3864
"37","Ashland Ave & 13th St",3404
"38","Ashland Ave & 45th St",8
"39","Ashland Ave & 45th St - midblock south",8
"40","Ashland Ave & 46th St",7
"41","Ashland Ave & 50th St",171
"42","Ashland Ave & 63rd St",213
"43","Ashland Ave & 66th St",61
"44","Ashland Ave & 71st St",6
"45","Ashland Ave & 73rd St",2
"46","Ashland Ave & 74th St",116
"47","Ashland Ave & 76th St",11
"48","Ashland Ave & 78th St",132
"49","Ashland Ave & Archer Ave",1348
"50","Ashland Ave & Augusta Blvd",7399
"51","Ashland Ave & Belle Plaine Ave",3397
"52","Ashland Ave & Blackhawk St",10021
"53","Ashland Ave & Chicago Ave",6354
"54","Ashland Ave & Division St",23694
"55","Ashland Ave & Garfield Blvd",150
"56","Ashland Ave & Grace St",7516
"57","Ashland Ave & Grand Ave",6307
"58","Ashland Ave & Lake St",5567
"59","Ashland Ave & McDowell Ave",452
"60","Ashland Ave & Pershing Rd",274
"61","Ashland Ave & Wellington Ave",7030
"62","Ashland Ave & Wrightwood Ave",6561
"63","Augusta Blvd & Laramie Ave",105
"64","Austin Ave & Roscoe St",6
"65","Austin Ave & Wellington Ave - midblock",6
"66","Austin Ave & Wrightwood Ave",14
"67","Austin Blvd & Chicago Ave",300
"68","Austin Blvd & Lake St",506
"69","Austin Blvd & Madison St",345
"70","Austin Blvd & North Ave",5
"71","Austin Branch Chicago Public Library",6
"72","Avenue J & 102nd St",1
"73","Avenue J & 106th St",6
"74","Avenue J & 112th St",4
"75","Avenue L & 114th St",68
"76","Avenue M & 132nd St",2
"77","Avenue O & 118th St",140
"78","Avenue O & 134th St",101
"79","Avers Ave & Archer Ave",32
"80","Avers Ave & Belmont Ave",2443
"81","Avers Ave & Irving Park Rd",21
"82","Avers Ave & Ogden Ave",1
"83","Avondale Ave & Addison St",5
"84","Avondale Ave & Irving Park Rd",2168
"85","Back of the Yards Park",2
"86","Baltimore Ave & 132nd St",3
"87","Baltimore Ave & 133rd St",6
"88","Baltimore Ave & 87th St",181
"89","Base - 2132 W Hubbard",1365
"90","Base - 2132 W Hubbard Warehouse",635
"91","Bell Ave & 95th St",20
"92","Bennett Ave & 79th St",97
"93","Bennett Ave & 96th St",1
"94","Bensley Ave & 103rd St",1
"95","Benson Ave & Church St",5415
"96","Bernard St & Elston Ave",2115
"97","Big Marsh Park",242
"98","Bishop St & 46th St",10
"99","Bissell St & Armitage Ave",6787
"100","Bissell St & Armitage Ave - Charging",19
"101","Bissell St & Armitage Ave*",12361
"102","Blackstone Ave & Hyde Park Blvd",4713
"103","Bloomingdale Ave & Harlem Ave",118
"104","Blue Island Ave & 18th St",6224
"105","Bosworth Ave & Howard St",1005
"106","Bradley Park",71
"107","Brandon Ave & 91st St",48
"108","Brighton Park Branch Chicago Library",11
"109","Broadway & Argyle St",8922
"110","Broadway & Barry Ave",29829
"111","Broadway & Belmont Ave",16751
"112","Broadway & Berwyn Ave",8457
"113","Broadway & Cornelia Ave",21711
"114","Broadway & Granville Ave",7576
"115","Broadway & Ridge Ave",7616
"116","Broadway & Sheridan Rd",15727
"117","Broadway & Thorndale Ave",7504
"118","Broadway & Waveland Ave",22042
"119","Broadway & Wilson - Truman College Vaccination Site",9361
"120","Broadway & Wilson Ave",2281
"121","Buckingham Fountain",7245
"122","Buckingham Fountain (Temp)",2437
"123","Budlong Woods Library",1080
"124","Buffalo Ave & 133rd St",2
"125","Buffalo Ave & 89th St",5
"126","Burling St & Diversey Pkwy",14899
"127","Burnham Greenway & 105th St",235
"128","Burnham Greenway & 112th St",538
"129","Burnham Harbor",10502
"130","California & 16th St",171
"131","California Ave & 21st St",1276
"132","California Ave & 23rd Pl",780
"133","California Ave & 26th St",427
"134","California Ave & 29th St",12
"135","California Ave & 36th St",109
"136","California Ave & Altgeld St",3970
"137","California Ave & Byron St",2593
"138","California Ave & Cortez St",6984
"139","California Ave & Devon Ave - NE",28
"140","California Ave & Devon Ave - NW",11
"141","California Ave & Division St",4623
"142","California Ave & Fletcher St",3523
"143","California Ave & Francis Pl (Temp)",5074
"144","California Ave & Lake St",1102
"145","California Ave & Marquette Rd",203
"146","California Ave & Milwaukee Ave",13482
"147","California Ave & Montrose Ave",3532
"148","California Ave & North Ave",5431
"149","California Ave & Ogden Ave",5
"150","California Ave & Pershing Rd",10
"151","California Ave & Touhy Ave - NW",14
"152","California Ave & Touhy Ave - SW",1
"153","California Ave & Winona St",645
"154","Calumet Ave & 103rd St",3
"155","Calumet Ave & 18th St",8863
"156","Calumet Ave & 21st St",4291
"157","Calumet Ave & 33rd St",7689
"158","Calumet Ave & 35th St",2427
"159","Calumet Ave & 51st St",1157
"160","Calumet Ave & 71st St",62
"161","Calumet Ave & Garfield Blvd",13
"162","Calumet Park",305
"163","Campbell Ave & 51st St",122
"164","Campbell Ave & Fullerton Ave",3785
"165","Campbell Ave & Irving Park Rd",522
"166","Campbell Ave & Montrose Ave",3181
"167","Campbell Ave & Montrose Ave (Temp)",203
"168","Campbell Ave & North Ave",6737
"169","Canal St & Adams St",22211
"170","Canal St & Harrison St",3229
"171","Canal St & Jackson Blvd",11087
"172","Canal St & Madison St",14651
"173","Canal St & Monroe St",12612
"174","Canal St & Taylor St",6905
"175","Cannon Dr & Fullerton Ave",6492
"176","Canty Elementary School",3
"177","Carpenter St & 63rd St",48
"178","Carpenter St & Huron St",11129
"179","Central Ave & Chicago Ave",481
"180","Central Ave & Congress Pkwy",4
"181","Central Ave & Corcoran Pl",14
