"","end_station_name","n"
"1","10101 S Stony Island Ave",8
"2","111th St - Morgan Park Metra",102
"3","2112 W Peterson Ave",1049
"4","532 E 43rd St",216
"5","63rd & Western Ave - north corner",35
"6","63rd & Western Ave - south corner",41
"7","63rd St Beach",910
"8","83rd St (Avalon Park) Metra",186
"9","900 W Harrison St",11793
"10","Abbott Park",20
"11","Aberdeen St & Jackson Blvd",11586
"12","Aberdeen St & Monroe St",10009
"13","Aberdeen St & Randolph St",11346
"14","Ada St & 113th St",72
"15","Ada St & 117th St",99
"16","Ada St & 119th St",78
"17","Ada St & 79th St",90
"18","Ada St & 95th St",205
"19","Ada St & Washington Blvd",8382
"20","Adler Planetarium",15199
"21","Al Raby School",205
"22","Albany Ave & 103rd St",12
"23","Albany Ave & 111th St - NW",5
"24","Albany Ave & 16th St",404
"25","Albany Ave & 26th St",410
"26","Albany Ave & 63rd St",49
"27","Albany Ave & Belmont Ave",2356
"28","Albany Ave & Bloomingdale Ave",4923
"29","Albany Ave & Douglas Blvd",218
"30","Albany Ave & Montrose Ave",2331
"31","Altgeld Gardens",70
"32","Archer (Damen) Ave & 37th St",557
"33","Archer Ave & 43rd St",554
"34","Archer Park",99
"35","Artesian Ave & 55th St",276
"36","Artesian Ave & Hubbard St",3275
"37","Ashland Ave & 13th St",3686
"38","Ashland Ave & 45th St",64
"39","Ashland Ave & 45th St - midblock south",18
"40","Ashland Ave & 46th St",12
"41","Ashland Ave & 50th St",193
"42","Ashland Ave & 63rd St",172
"43","Ashland Ave & 66th St",67
"44","Ashland Ave & 71st St",65
"45","Ashland Ave & 73rd St",1
"46","Ashland Ave & 74th St",107
"47","Ashland Ave & 76th St",93
"48","Ashland Ave & 78th St",93
"49","Ashland Ave & Archer Ave",1347
"50","Ashland Ave & Augusta Blvd",7022
"51","Ashland Ave & Belle Plaine Ave",3407
"52","Ashland Ave & Blackhawk St",10089
"53","Ashland Ave & Chicago Ave",6545
"54","Ashland Ave & Division St",23755
"55","Ashland Ave & Garfield Blvd",135
"56","Ashland Ave & Grace St",7277
"57","Ashland Ave & Grand Ave",6166
"58","Ashland Ave & Lake St",5054
"59","Ashland Ave & McDowell Ave",479
"60","Ashland Ave & Pershing Rd",236
"61","Ashland Ave & Wellington Ave",6953
"62","Ashland Ave & Wrightwood Ave",6782
"63","Augusta Blvd & Laramie Ave",281
"64","Austin Ave & Roscoe St",245
"65","Austin Ave & Wellington Ave - midblock",30
"66","Austin Ave & Wrightwood Ave",26
"67","Austin Blvd & Chicago Ave",289
"68","Austin Blvd & Lake St",500
"69","Austin Blvd & Madison St",258
"70","Austin Blvd & North Ave",23
"71","Austin Branch Chicago Public Library",48
"72","Avenue J & 102nd St",39
"73","Avenue J & 106th St",104
"74","Avenue J & 112th St",28
"75","Avenue L & 114th St",95
"76","Avenue M & 132nd St",7
"77","Avenue O & 118th St",135
"78","Avenue O & 134th St",90
"79","Avers Ave & Archer Ave",34
"80","Avers Ave & Belmont Ave",2598
"81","Avers Ave & Irving Park Rd",714
"82","Avers Ave & Ogden Ave",1
"83","Avondale Ave & Addison St",19
"84","Avondale Ave & Irving Park Rd",2004
"85","Back of the Yards Park",6
"86","Baltimore Ave & 132nd St",31
"87","Baltimore Ave & 133rd St",26
"88","Baltimore Ave & 87th St",182
"89","Bell Ave & 95th St",167
"90","Bennett Ave & 79th St",111
"91","Bennett Ave & 96th St",46
"92","Bensley Ave & 103rd St",21
"93","Benson Ave & Church St",5511
"94","Bernard St & Elston Ave",2147
"95","Big Marsh Park",228
"96","Bishop St & 46th St",60
"97","Bissell St & Armitage Ave",19898
"98","Blackstone Ave & Hyde Park Blvd",4515
"99","Bloomingdale Ave & Harlem Ave",268
"100","Blue Island Ave & 18th St",6437
"101","Bosworth Ave & Howard St",917
"102","Bradley Park",66
"103","Brandon Ave & 91st St",105
"104","Brighton Park Branch Chicago Library",15
"105","Broadway & Argyle St",8841
"106","Broadway & Barry Ave",30109
"107","Broadway & Belmont Ave",16853
"108","Broadway & Berwyn Ave",8589
"109","Broadway & Cornelia Ave",21270
"110","Broadway & Granville Ave",7849
"111","Broadway & Ridge Ave",7693
"112","Broadway & Sheridan Rd",15067
"113","Broadway & Thorndale Ave",7812
"114","Broadway & Waveland Ave",21711
"115","Broadway & Wilson - Truman College Vaccination Site",9498
"116","Broadway & Wilson Ave",2279
"117","Buckingham Fountain",8770
"118","Budlong Woods Library",1113
"119","Buffalo Ave & 133rd St",32
"120","Buffalo Ave & 89th St",30
"121","Burling St & Diversey Pkwy",15195
"122","Burnham Greenway & 105th St",249
"123","Burnham Greenway & 112th St",508
"124","Burnham Harbor",10514
"125","California & 16th St",360
"126","California Ave & 21st St",1322
"127","California Ave & 23rd Pl",655
"128","California Ave & 26th St",419
"129","California Ave & 29th St",236
"130","California Ave & 36th St",192
"131","California Ave & Altgeld St",4204
"132","California Ave & Byron St",2620
"133","California Ave & Cortez St",9182
"134","California Ave & Devon Ave - NE",49
"135","California Ave & Devon Ave - NW",28
"136","California Ave & Division St",4897
"137","California Ave & Fletcher St",4242
"138","California Ave & Francis Pl",4955
"139","California Ave & Lake St",906
"140","California Ave & Marquette Rd",318
"141","California Ave & Milwaukee Ave",13405
"142","California Ave & Montrose Ave",3557
"143","California Ave & North Ave",5276
"144","California Ave & Ogden Ave",7
"145","California Ave & Pershing Rd",12
"146","California Ave & Touhy Ave - NW",44
"147","California Ave & Touhy Ave - SW",1
"148","California Ave & Winona St",1541
"149","Calumet Ave & 103rd St",77
"150","Calumet Ave & 18th St",9104
"151","Calumet Ave & 21st St",4352
"152","Calumet Ave & 33rd St",7591
"153","Calumet Ave & 35th St",2464
"154","Calumet Ave & 51st St",1299
"155","Calumet Ave & 71st St",87
"156","Calumet Ave & Garfield Blvd",85
"157","Calumet Park",284
"158","Campbell Ave & 51st St",450
"159","Campbell Ave & Fullerton Ave",3619
"160","Campbell Ave & Irving Park Rd",1216
"161","Campbell Ave & Montrose Ave",3462
"162","Campbell Ave & North Ave",6587
"163","Canal St & Adams St",20876
"164","Canal St & Harrison St",2593
"165","Canal St & Jackson Blvd",10839
"166","Canal St & Madison St",14733
"167","Canal St & Monroe St",12400
"168","Canal St & Taylor St",6995
"169","Cannon Dr & Fullerton Ave",6637
"170","Canty Elementary School",11
"171","Carpenter St & 63rd St",50
"172","Carpenter St & Huron St",9866
"173","Central Ave & Adams St",787
"174","Central Ave & Chicago Ave",472
"175","Central Ave & Congress Pkwy",140
"176","Central Ave & Corcoran Pl",153
"177","Central Ave & George St",148
"178","Central Ave & Harrison St",135
"179","Central Ave & Lake St",241
"180","Central Ave & Madison St",208
"181","Central Ave & North Ave",26
"182","Central Ave & Parker Ave",1706
"183","Central Ave & Roscoe St",975
"184","Central Park & Augusta Blvd",418
"185","Central Park Ave & 24th St",414
"186","Central Park Ave & Bloomingdale Ave",3515
"187","Central Park Ave & Douglas Blvd",232
"188","Central Park Ave & Elbridge Ave",3248
"189","Central Park Ave & Fillmore St",36
"190","Central Park Ave & North Ave",1572
"191","Central Park Ave & Ogden Ave",810
"192","Central Park Ave & Ohio St",599
"193","Central Park Blvd & 5th Ave",172
"194","Central St & Girard Ave",1237
"195","Central St Metra",1304
"196","Champlain Ave & 134th St",37
"197","Chappel Ave & 71st St",33
"198","Chase Ave & Touhy Ave - NE",38
"199","Chase Ave & Touhy Ave - NW",267
"200","Cherry Ave & Blackhawk St",2386
"201","Chicago Ave & Sheridan Rd",4871
"202","Chicago Ave & Washington St",3371
"203","Chicago State University",453
"204","Chopin Park",10
"205","Christiana Ave & 111th St",2
"206","Christiana Ave & 55th St",37
"207","Christiana Ave & Archer Ave",343
"208","Christiana Ave & Belmont Ave",181
"209","Christiana Ave & Bryn Mawr Ave",8
"210","Christiana Ave & Lawrence Ave",2448
"211","Cicero Ave & Altgeld St",24
"212","Cicero Ave & Cortland St - midblock",28
"213","Cicero Ave & Flournoy St",112
"214","Cicero Ave & Grace St",1405
"215","Cicero Ave & Lake St",227
"216","Cicero Ave & Le Moyne St - midblock",12
"217","Cicero Ave & North Ave",63
"218","Cicero Ave & Quincy St",111
"219","Cicero Ave & Roscoe St",43
"220","Cicero Ave & Wellington Ave",200
"221","Cicero Ave & Wrightwood Ave",956
