"","end_station_name","n"
"1","10101 S Stony Island Ave",4
"2","111th St - Morgan Park Metra",13
"3","2112 W Peterson Ave",1049
"4","532 E 43rd St",33
"5","63rd & Western Ave - north corner",15
"6","63rd & Western Ave - south corner",10
"7","63rd St Beach",910
"8","83rd St (Avalon Park) Metra",3
"9","900 W Harrison St",11793
"10","Abbott Park",20
"11","Aberdeen St & Jackson Blvd",11587
"12","Aberdeen St & Monroe St",10011
"13","Aberdeen St & Randolph St",11346
"14","Ada St & 113th St",72
"15","Ada St & 117th St",2
"16","Ada St & 119th St",2
"17","Ada St & 79th St",8
"18","Ada St & 95th St",1
"19","Ada St & Washington Blvd",8382
"20","Adler Planetarium",15201
"21","Al Raby School",2
"22","Albany Ave & 103rd St",4
"23","Albany Ave & 111th St - NW",5
"24","Albany Ave & 16th St",190
"25","Albany Ave & 26th St",410
"26","Albany Ave & 63rd St",27
"27","Albany Ave & Belmont Ave",504
"28","Albany Ave & Bloomingdale Ave",4923
"29","Albany Ave & Douglas Blvd",80
"30","Albany Ave & Montrose Ave",2331
"31","Altgeld Gardens",70
"32","Archer (Damen) Ave & 37th St",557
"33","Archer Ave & 43rd St",227
"34","Archer Park",11
"35","Artesian Ave & 55th St",164
"36","Artesian Ave & Hubbard St",3280
"37","Ashland Ave & 13th St",3686
"38","Ashland Ave & 45th St",7
"39","Ashland Ave & 45th St - midblock south",8
"40","Ashland Ave & 46th St",5
"41","Ashland Ave & 50th St",193
"42","Ashland Ave & 63rd St",172
"43","Ashland Ave & 66th St",67
"44","Ashland Ave & 71st St",8
"45","Ashland Ave & 73rd St",1
"46","Ashland Ave & 74th St",107
"47","Ashland Ave & 76th St",4
"48","Ashland Ave & 78th St",93
"49","Ashland Ave & Archer Ave",1347
"50","Ashland Ave & Augusta Blvd",7022
"51","Ashland Ave & Belle Plaine Ave",3408
"52","Ashland Ave & Blackhawk St",10091
"53","Ashland Ave & Chicago Ave",6549
"54","Ashland Ave & Division St",23758
"55","Ashland Ave & Garfield Blvd",135
"56","Ashland Ave & Grace St",7277
"57","Ashland Ave & Grand Ave",6169
"58","Ashland Ave & Lake St",5062
"59","Ashland Ave & McDowell Ave",480
"60","Ashland Ave & Pershing Rd",236
"61","Ashland Ave & Wellington Ave",6953
"62","Ashland Ave & Wrightwood Ave",6783
"63","Augusta Blvd & Laramie Ave",90
"64","Austin Ave & Roscoe St",7
"65","Austin Ave & Wellington Ave - midblock",6
"66","Austin Ave & Wrightwood Ave",13
"67","Austin Blvd & Chicago Ave",289
"68","Austin Blvd & Lake St",500
"69","Austin Blvd & Madison St",258
"70","Austin Blvd & North Ave",4
"71","Austin Branch Chicago Public Library",9
"72","Avenue J & 102nd St",1
"73","Avenue J & 106th St",6
"74","Avenue J & 112th St",4
"75","Avenue L & 114th St",31
"76","Avenue M & 132nd St",2
"77","Avenue O & 118th St",135
"78","Avenue O & 134th St",90
"79","Avers Ave & Archer Ave",31
"80","Avers Ave & Belmont Ave",2601
"81","Avers Ave & Irving Park Rd",24
"82","Avers Ave & Ogden Ave",1
"83","Avondale Ave & Addison St",5
"84","Avondale Ave & Irving Park Rd",2006
"85","Back of the Yards Park",2
"86","Baltimore Ave & 132nd St",3
"87","Baltimore Ave & 133rd St",4
"88","Baltimore Ave & 87th St",182
"89","Base - 2132 W Hubbard",177
"90","Base - 2132 W Hubbard Warehouse",65
"91","Bell Ave & 95th St",19
"92","Bennett Ave & 79th St",111
"93","Bennett Ave & 96th St",2
"94","Bensley Ave & 103rd St",2
"95","Benson Ave & Church St",5511
"96","Bernard St & Elston Ave",2155
"97","Big Marsh Park",228
"98","Bishop St & 46th St",13
"99","Bissell St & Armitage Ave",6933
"100","Bissell St & Armitage Ave - Charging",21
"101","Bissell St & Armitage Ave*",12946
"102","Blackstone Ave & Hyde Park Blvd",4515
"103","Bloomingdale Ave & Harlem Ave",105
"104","Blue Island Ave & 18th St",6437
"105","Bosworth Ave & Howard St",917
"106","Bradley Park",56
"107","Brandon Ave & 91st St",49
"108","Brighton Park Branch Chicago Library",9
"109","Broadway & Argyle St",8841
"110","Broadway & Barry Ave",30110
"111","Broadway & Belmont Ave",16853
"112","Broadway & Berwyn Ave",8589
"113","Broadway & Cornelia Ave",21271
"114","Broadway & Granville Ave",7849
"115","Broadway & Ridge Ave",7694
"116","Broadway & Sheridan Rd",15070
"117","Broadway & Thorndale Ave",7812
"118","Broadway & Waveland Ave",21714
"119","Broadway & Wilson - Truman College Vaccination Site",9499
"120","Broadway & Wilson Ave",2279
"121","Buckingham Fountain",6438
"122","Buckingham Fountain (Temp)",2332
"123","Budlong Woods Library",1115
"124","Buffalo Ave & 133rd St",1
"125","Buffalo Ave & 89th St",6
"126","Burling St & Diversey Pkwy",15197
"127","Burnham Greenway & 105th St",249
"128","Burnham Greenway & 112th St",509
"129","Burnham Harbor",10514
"130","California & 16th St",139
"131","California Ave & 21st St",1322
"132","California Ave & 23rd Pl",656
"133","California Ave & 26th St",421
"134","California Ave & 29th St",8
"135","California Ave & 36th St",88
"136","California Ave & Altgeld St",4205
"137","California Ave & Byron St",2624
"138","California Ave & Cortez St",7197
"139","California Ave & Devon Ave - NE",26
"140","California Ave & Devon Ave - NW",12
"141","California Ave & Division St",4899
"142","California Ave & Fletcher St",4244
"143","California Ave & Francis Pl (Temp)",4959
"144","California Ave & Lake St",906
"145","California Ave & Marquette Rd",206
"146","California Ave & Milwaukee Ave",13414
"147","California Ave & Montrose Ave",3559
"148","California Ave & North Ave",5280
"149","California Ave & Ogden Ave",5
"150","California Ave & Pershing Rd",10
"151","California Ave & Touhy Ave - NW",16
"152","California Ave & Touhy Ave - SW",1
"153","California Ave & Winona St",596
"154","Calumet Ave & 103rd St",4
"155","Calumet Ave & 18th St",9105
"156","Calumet Ave & 21st St",4352
"157","Calumet Ave & 33rd St",7591
"158","Calumet Ave & 35th St",2464
"159","Calumet Ave & 51st St",1032
"160","Calumet Ave & 71st St",55
"161","Calumet Ave & Garfield Blvd",14
"162","Calumet Park",284
"163","Campbell Ave & 51st St",98
"164","Campbell Ave & Fullerton Ave",3623
"165","Campbell Ave & Irving Park Rd",418
"166","Campbell Ave & Montrose Ave",3247
"167","Campbell Ave & Montrose Ave (Temp)",215
"168","Campbell Ave & North Ave",6587
"169","Canal St & Adams St",20877
"170","Canal St & Harrison St",2595
"171","Canal St & Jackson Blvd",10839
"172","Canal St & Madison St",14735
"173","Canal St & Monroe St",12401
"174","Canal St & Taylor St",6995
"175","Cannon Dr & Fullerton Ave",6637
"176","Canty Elementary School",4
"177","Carpenter St & 63rd St",50
"178","Carpenter St & Huron St",9868
"179","Central Ave & Adams St",1
"180","Central Ave & Chicago Ave",472
"181","Central Ave & Congress Pkwy",7
"182","Central Ave & Corcoran Pl",20
"183","Central Ave & George St",17
"184","Central Ave & Harrison St",135
"185","Central Ave & Lake St",241
"186","Central Ave & Madison St",208
"187","Central Ave & North Ave",6
"188","Central Ave & Parker Ave",314
"189","Central Ave & Roscoe St",328
"190","Central Park & Augusta Blvd",163
"191","Central Park Ave & 24th St",414
"192","Central Park Ave & Bloomingdale Ave",3517
"193","Central Park Ave & Douglas Blvd",114
"194","Central Park Ave & Elbridge Ave",3248
"195","Central Park Ave & Fillmore St",1
"196","Central Park Ave & North Ave",1573
"197","Central Park Ave & Ogden Ave",795
"198","Central Park Ave & Ohio St",249
"199","Central Park Blvd & 5th Ave",172
"200","Central St & Girard Ave",1237
"201","Central St Metra",1304
"202","Champlain Ave & 134th St",4
"203","Chappel Ave & 71st St",7
"204","Chase Ave & Touhy Ave - NE",3
"205","Chase Ave & Touhy Ave - NW",4
"206","Cherry Ave & Blackhawk St",2386
"207","Chicago Ave & Sheridan Rd",4871
"208","Chicago Ave & Washington St",3371
"209","Chicago State University",454
"210","Chopin Park",4
"211","Christiana Ave & 111th St",2
"212","Christiana Ave & 55th St",23
"213","Christiana Ave & Archer Ave",83
"214","Christiana Ave & Belmont Ave",53
"215","Christiana Ave & Bryn Mawr Ave",2
"216","Christiana Ave & Lawrence Ave",2423
"217","Cicero Ave & Altgeld St",8
"218","Cicero Ave & Cortland St - midblock",7
"219","Cicero Ave & Flournoy St",112
"220","Cicero Ave & Grace St",192
"221","Cicero Ave & Lake St",227
"222","Cicero Ave & Le Moyne St - midblock",3
"223","Cicero Ave & North Ave",11
"224","Cicero Ave & Quincy St",111
"225","Cicero Ave & Roscoe St",17
"226","Cicero Ave & Wellington Ave",91
"227","Cicero Ave & Wrightwood Ave",80
