"","start_station_name","n"
"1","10101 S Stony Island Ave",7
"2","111th St - Morgan Park Metra",91
"3","2112 W Peterson Ave",963
"4","532 E 43rd St",194
"5","63rd & Western Ave - north corner",32
"6","63rd & Western Ave - south corner",34
"7","63rd St Beach",851
"8","83rd St (Avalon Park) Metra",179
"9","900 W Harrison St",12172
"10","Abbott Park",15
"11","Aberdeen St & Jackson Blvd",12134
"12","Aberdeen St & Monroe St",9992
"13","Aberdeen St & Randolph St",10867
"14","Ada St & 113th St",72
"15","Ada St & 117th St",55
"16","Ada St & 119th St",91
"17","Ada St & 79th St",71
"18","Ada St & 95th St",167
"19","Ada St & Washington Blvd",8240
"20","Adler Planetarium",16085
"21","Al Raby School",259
"22","Albany Ave & 103rd St",4
"23","Albany Ave & 111th St - NW",5
"24","Albany Ave & 16th St",434
"25","Albany Ave & 26th St",380
"26","Albany Ave & 63rd St",73
"27","Albany Ave & Belmont Ave",2449
"28","Albany Ave & Bloomingdale Ave",5210
"29","Albany Ave & Douglas Blvd",186
"30","Albany Ave & Montrose Ave",2224
"31","Altgeld Gardens",78
"32","Archer (Damen) Ave & 37th St",569
"33","Archer Ave & 43rd St",488
"34","Archer Park",74
"35","Artesian Ave & 55th St",390
"36","Artesian Ave & Hubbard St",3863
"37","Ashland Ave & 13th St",3403
"38","Ashland Ave & 45th St",54
"39","Ashland Ave & 45th St - midblock south",37
"40","Ashland Ave & 46th St",21
"41","Ashland Ave & 50th St",171
"42","Ashland Ave & 63rd St",213
"43","Ashland Ave & 66th St",61
"44","Ashland Ave & 71st St",52
"45","Ashland Ave & 73rd St",9
"46","Ashland Ave & 74th St",116
"47","Ashland Ave & 76th St",74
"48","Ashland Ave & 78th St",132
"49","Ashland Ave & Archer Ave",1348
"50","Ashland Ave & Augusta Blvd",7399
"51","Ashland Ave & Belle Plaine Ave",3397
"52","Ashland Ave & Blackhawk St",10019
"53","Ashland Ave & Chicago Ave",6354
"54","Ashland Ave & Division St",23693
"55","Ashland Ave & Garfield Blvd",150
"56","Ashland Ave & Grace St",7516
